election_id,candidate_a,candidate_b,a_won_real,a_vote_share,b_vote_share,model_chose,model_chose_label,model_correct,status
42.0,S2006NJ0042N0084,S2006NJ0042T0083,False,0.46,0.54,b,S2006NJ0042T0083,True,ok
43.0,S2006NM0043T0085,S2006NM0043N0086,True,0.7,0.3,b,S2006NM0043N0086,False,ok
44.0,S2006ND0044T0087,S2006ND0044N0088,True,0.7,0.3,a,S2006ND0044T0087,True,ok
45.0,S2006OH0045T0089,S2006OH0045N0090,True,0.56,0.44,a,S2006OH0045T0089,True,ok
46.0,S2006PA0046T0091,S2006PA0046N0092,True,0.59,0.41,b,S2006PA0046N0092,False,ok
47.0,S2006RI0047N0094,S2006RI0047T0093,False,0.47,0.53,b,S2006RI0047T0093,True,ok
48.0,S2006TN0048N0096,S2006TN0048T0095,True,0.51,0.49,b,S2006TN0048T0095,False,ok
49.0,S2006TX0049N0098,S2006TX0049T0097,True,0.63,0.37,a,S2006TX0049N0098,True,ok
50.0,S2006UT0050T0099,S2006UT0050N0100,False,0.33,0.67,a,S2006UT0050T0099,False,ok
51.0,S2006VT0051I0101,S2006VT0051N0102,True,0.67,0.33,b,S2006VT0051N0102,False,ok
52.0,S2006VA0052N0104,S2006VA0052T0103,False,0.5,0.5,a,S2006VA0052N0104,False,ok
53.0,S2006WA0053T0105,S2006WA0053N0106,True,0.59,0.41,a,S2006WA0053T0105,True,ok
54.0,S2006WV0054T0107,S2006WV0054N0108,True,0.66,0.34,b,S2006WV0054N0108,False,ok
55.0,S2006WI0055T0109,S2006WI0055N0110,True,0.7,0.3,a,S2006WI0055T0109,True,ok
56.0,S2004AL0056N0112,S2004AL0056T0111,True,0.68,0.32,a,S2004AL0056N0112,True,ok
57.0,S2004AK0057T0113,S2004AK0057N0114,False,0.48,0.52,a,S2004AK0057T0113,False,ok
58.0,S2004AR0058N0116,S2004AR0058T0115,False,0.44,0.56,b,S2004AR0058T0115,True,ok
59.0,S2004CA0059T0117,S2004CA0059N0118,True,0.61,0.39,a,S2004CA0059T0117,True,ok
60.0,S2004CO0060N0120,S2004CO0060T0119,False,0.48,0.52,a,S2004CO0060N0120,False,ok
61.0,S2004CT0061T0121,S2004CT0061N0122,True,0.67,0.33,b,S2004CT0061N0122,False,ok
62.0,S2004FL0062T0123,S2004FL0062N0124,False,0.49,0.51,a,S2004FL0062T0123,False,ok
64.0,S2004HI0064N0128,S2004HI0064T0127,False,0.22,0.78,a,S2004HI0064N0128,False,ok
65.0,S2004IL0065N0130,S2004IL0065T0129,False,0.28,0.72,b,S2004IL0065T0129,True,ok
66.0,S2004IN0066T0131,S2004IN0066N0132,True,0.62,0.38,,,,"POSITION_BIAS: ['b', 'a'] | ['"
67.0,S2004IA0067N0134,S2004IA0067T0133,True,0.72,0.28,a,S2004IA0067N0134,True,ok
70.0,S2004LA0070T0139,S2004LA0070N0140,False,0.23,0.77,b,S2004LA0070N0140,True,ok
71.0,S2004MD0071T0141,S2004MD0071N0142,True,0.66,0.34,a,S2004MD0071T0141,True,ok
72.0,S2004MS0072N0144,S2004MS0072T0143,True,0.57,0.43,b,S2004MS0072T0143,False,ok
73.0,S2004NC0073T0145,S2004NC0073N0146,False,0.48,0.52,b,S2004NC0073N0146,True,ok
74.0,S2004ND0074T0147,S2004ND0074N0148,True,0.68,0.32,b,S2004ND0074N0148,False,ok
75.0,S2004NV0075T0149,S2004NV0075N0150,True,0.63,0.37,a,S2004NV0075T0149,True,ok
76.0,S2004NH0076N0152,S2004NH0076T0151,True,0.66,0.34,a,S2004NH0076N0152,True,ok
77.0,S2004NY0077N0154,S2004NY0077T0153,False,0.26,0.74,b,S2004NY0077T0153,True,ok
78.0,S2004OH0078T0155,S2004OH0078N0156,False,0.36,0.64,b,S2004OH0078N0156,True,ok
79.0,S2004OK0079T0157,S2004OK0079N0158,False,0.44,0.56,,,,"POSITION_BIAS: ['b', 'a'] | ['"
80.0,S2004OR0080N0160,S2004OR0080T0159,False,0.33,0.67,b,S2004OR0080T0159,True,ok
81.0,S2004PA0081T0161,S2004PA0081N0162,False,0.44,0.56,b,S2004PA0081N0162,True,ok
82.0,S2004SC0082N0164,S2004SC0082T0163,True,0.55,0.45,,,,"POSITION_BIAS: ['b', 'a'] | ['"
83.0,S2004SD0083T0165,S2004SD0083N0166,False,0.49,0.51,a,S2004SD0083T0165,False,ok
84.0,S2004UT0084N0168,S2004UT0084T0167,True,0.7,0.3,a,S2004UT0084N0168,True,ok
85.0,S2004VT0085T0169,S2004VT0085N0170,True,0.74,0.26,a,S2004VT0085T0169,True,ok
86.0,S2004WA0086T0171,S2004WA0086N0172,True,0.56,0.44,,,,"POSITION_BIAS: ['a', 'b'] | ['"
87.0,S2004WI0087T0173,S2004WI0087N0174,True,0.56,0.44,b,S2004WI0087N0174,False,ok
88.0,S2002AK0088N0176,S2002AK0088T0175,True,0.55,0.12,a,S2002AK0088N0176,True,ok
89.0,S2002AL0089T0177,S2002AL0089N0178,False,0.4,0.6,b,S2002AL0089N0178,True,ok
90.0,S2002CO0090N0180,S2002CO0090T0179,True,0.53,0.47,b,S2002CO0090T0179,False,ok
91.0,S2002DE0091T0181,S2002DE0091N0182,True,0.59,0.41,a,S2002DE0091T0181,True,ok
92.0,S2002GA0092N0184,S2002GA0092T0183,True,0.54,0.46,a,S2002GA0092N0184,True,ok
93.0,S2002IA0093N0186,S2002IA0093T0185,False,0.45,0.55,b,S2002IA0093T0185,True,ok
94.0,S2002ID0094T0187,S2002ID0094N0188,False,0.33,0.67,a,S2002ID0094T0187,False,ok
95.0,S2002IL0095T0189,S2002IL0095N0190,True,0.61,0.39,b,S2002IL0095N0190,False,ok
96.0,S2002KS0096N0192,S2002KS0096L0191,True,0.9,0.1,a,S2002KS0096N0192,True,ok
97.0,S2002LA0097T0193,S2002LA0097N0194,True,0.63,0.37,a,S2002LA0097T0193,True,ok
98.0,S2002ME0098N0196,S2002ME0098T0195,True,0.59,0.41,a,S2002ME0098N0196,True,ok
99.0,S2002MI0099T0197,S2002MI0099N0198,True,0.62,0.38,b,S2002MI0099N0198,False,ok
100.0,S2002MN0100N0200,S2002MN0100T0199,True,0.51,0.49,a,S2002MN0100N0200,True,ok
101.0,S2002MO0101T0201,S2002MO0101N0202,False,0.49,0.51,b,S2002MO0101N0202,True,ok
102.0,S2002MS0102N0204,S2002MS0102I0203,True,0.85,0.15,a,S2002MS0102N0204,True,ok
103.0,S2002MT0103T0205,S2002MT0103N0206,True,0.66,0.34,a,S2002MT0103T0205,True,ok
104.0,S2002NC0104T0207,S2002NC0104N0208,False,0.46,0.54,b,S2002NC0104N0208,True,ok
105.0,S2002NE0105N0210,S2002NE0105T0209,True,0.85,0.15,,,,"POSITION_BIAS: ['a', 'b'] | ['"
106.0,S2002NH0106T0211,S2002NH0106N0212,False,0.48,0.52,a,S2002NH0106T0211,False,ok
107.0,S2002NJ0107N0214,S2002NJ0107T0213,False,0.45,0.55,,,,"POSITION_BIAS: ['a', 'b'] | ['"
108.0,S2002NM0108N0216,S2002NM0108T0215,True,0.65,0.35,b,S2002NM0108T0215,False,ok
109.0,S2002OK0109N0218,S2002OK0109T0217,True,0.61,0.39,,,,"POSITION_BIAS: ['a', 'b'] | ['"
110.0,S2002OR0110T0219,S2002OR0110N0220,False,0.41,0.59,b,S2002OR0110N0220,True,ok
111.0,S2002RI0111N0222,S2002RI0111T0221,True,0.22,0.78,a,S2002RI0111N0222,True,ok
112.0,S2002SC0112N0224,S2002SC0112T0223,True,0.55,0.45,a,S2002SC0112N0224,True,ok
113.0,S2002SD0113T0225,S2002SD0113N0226,True,0.5,0.5,b,S2002SD0113N0226,False,ok
114.0,S2002TN0114N0228,S2002TN0114T0227,True,0.55,0.45,a,S2002TN0114N0228,True,ok
115.0,S2002TX0115N0230,S2002TX0115T0229,True,0.56,0.44,a,S2002TX0115N0230,True,ok
116.0,S2002VA0116I0231,S2002VA0116N0232,False,0.1,0.9,a,S2002VA0116I0231,False,ok
117.0,S2002WV0117T0233,S2002WV0117N0234,True,0.63,0.37,b,S2002WV0117N0234,False,ok
118.0,S2002WY0118T0235,S2002WY0118N0236,False,0.27,0.73,,,,"POSITION_BIAS: ['b', 'a'] | ['"
119.0,S2002AR0119N0238,S2002AR0119T0237,False,0.46,0.54,a,S2002AR0119N0238,False,ok
120.0,S2002KY0120N0240,S2002KY0120T0239,True,0.64,0.36,b,S2002KY0120T0239,False,ok
121.0,S2000AZ0121N0242,S2000AZ0121I0241,True,0.91,0.09,a,S2000AZ0121N0242,True,ok
122.0,S2000CA0122N0244,S2000CA0122T0243,False,0.39,0.61,a,S2000CA0122N0244,False,ok
123.0,S2000DE0123T0245,S2000DE0123N0246,True,0.56,0.44,a,S2000DE0123T0245,True,ok
124.0,S2000FL0124N0248,S2000FL0124T0247,False,0.48,0.52,b,S2000FL0124T0247,True,ok
125.0,S2000GA0125N0250,S2000GA0125T0249,False,0.4,0.6,b,S2000GA0125T0249,True,ok
126.0,S2000HI0126T0251,S2000HI0126N0252,True,0.75,0.25,,,,"POSITION_BIAS: ['a', 'b'] | ['"
127.0,S2000IN0127T0253,S2000IN0127N0254,False,0.33,0.67,b,S2000IN0127N0254,True,ok
130.0,S2000ME0130T0259,S2000ME0130N0260,False,0.31,0.69,,,,"POSITION_BIAS: ['b', 'a'] | ['"
131.0,S2000MI0131N0262,S2000MI0131T0261,False,0.49,0.51,b,S2000MI0131T0261,True,ok
132.0,S2000MN0132T0263,S2000MN0132N0264,True,0.53,0.47,b,S2000MN0132N0264,False,ok
133.0,S2000MO0133T0265,S2000MO0133N0266,False,0.32,0.68,b,S2000MO0133N0266,True,ok
134.0,S2000MT0134N0268,S2000MT0134T0267,True,0.52,0.48,,,,"POSITION_BIAS: ['a', 'b'] | ['"
135.0,S2000ND0135T0269,S2000ND0135N0270,True,0.61,0.39,a,S2000ND0135T0269,True,ok
136.0,S2000NE0136T0271,S2000NE0136N0272,True,0.51,0.49,a,S2000NE0136T0271,True,ok
137.0,S2000NM0137T0273,S2000NM0137N0274,True,0.62,0.38,a,S2000NM0137T0273,True,ok
138.0,S2000NV0138T0275,S2000NV0138N0276,False,0.42,0.58,b,S2000NV0138N0276,True,ok
139.0,S2000OH0139T0277,S2000OH0139N0278,False,0.37,0.63,a,S2000OH0139T0277,False,ok
140.0,S2000PA0140T0279,S2000PA0140N0280,False,0.46,0.54,b,S2000PA0140N0280,True,ok
141.0,S2000RI0141N0282,S2000RI0141T0281,True,0.58,0.42,,,,"POSITION_BIAS: ['b', 'a'] | ['"
142.0,S2000TN0142T0283,S2000TN0142N0284,False,0.33,0.64,b,S2000TN0142N0284,True,ok
143.0,S2000TX0143N0286,S2000TX0143T0285,True,0.64,0.33,a,S2000TX0143N0286,True,ok
144.0,S2000UT0144N0288,S2000UT0144T0287,True,0.68,0.32,b,S2000UT0144T0287,False,ok
145.0,S2000VA0145N0290,S2000VA0145T0289,True,0.52,0.48,a,S2000VA0145N0290,True,ok
146.0,S2000VT0146T0291,S2000VT0146N0292,False,0.28,0.72,a,S2000VT0146T0291,False,ok
147.0,S2000WA0147T0293,S2000WA0147N0294,True,0.5,0.5,a,S2000WA0147T0293,True,ok
148.0,S2000WI0148N0296,S2000WI0148T0295,False,0.38,0.62,b,S2000WI0148T0295,True,ok
149.0,S2000WV0149T0297,S2000WV0149N0298,True,0.79,0.21,a,S2000WV0149T0297,True,ok
150.0,S2000WY0150T0299,S2000WY0150N0300,False,0.23,0.77,b,S2000WY0150N0300,True,ok
151.0,G2006AL0151T0301,G2006AL0151N0302,False,0.42,0.58,a,G2006AL0151T0301,False,ok
152.0,G2006AK0152T0303,G2006AK0152N0304,False,0.46,0.54,a,G2006AK0152T0303,False,ok
153.0,G2006AZ0153N0306,G2006AZ0153T0305,False,0.36,0.64,a,G2006AZ0153N0306,False,ok
154.0,G2006AR0154T0307,G2006AR0154N0308,True,0.58,0.42,a,G2006AR0154T0307,True,ok
155.0,G2006CO0155N0310,G2006CO0155T0309,False,0.41,0.59,a,G2006CO0155N0310,False,ok
156.0,G2006CT0156T0311,G2006CT0156N0312,False,0.36,0.64,b,G2006CT0156N0312,True,ok
157.0,G2006FL0157N0314,G2006FL0157T0313,True,0.54,0.46,a,G2006FL0157N0314,True,ok
158.0,G2006GA0158N0316,G2006GA0158T0315,True,0.6,0.4,a,G2006GA0158N0316,True,ok
159.0,G2006HI0159T0317,G2006HI0159N0318,False,0.36,0.64,b,G2006HI0159N0318,True,ok
160.0,G2006ID0160T0319,G2006ID0160N0320,False,0.46,0.54,b,G2006ID0160N0320,True,ok
161.0,G2006IL0161T0321,G2006IL0161N0322,True,0.56,0.44,a,G2006IL0161T0321,True,ok
162.0,G2006IA0162T0323,G2006IA0162N0324,True,0.55,0.45,a,G2006IA0162T0323,True,ok
163.0,G2006KS0163N0326,G2006KS0163T0325,False,0.41,0.59,b,G2006KS0163T0325,True,ok
164.0,G2006ME0164T0327,G2006ME0164N0328,True,0.56,0.44,b,G2006ME0164N0328,False,ok
165.0,G2006MD0165N0330,G2006MD0165T0329,False,0.47,0.53,b,G2006MD0165T0329,True,ok
166.0,G2006MA0166N0332,G2006MA0166T0331,False,0.39,0.61,a,G2006MA0166N0332,False,ok
167.0,G2006MI0167N0334,G2006MI0167T0333,False,0.43,0.57,,,,"POSITION_BIAS: ['b', 'a'] | ['"
168.0,G2006MN0168T0335,G2006MN0168N0336,False,0.49,0.51,b,G2006MN0168N0336,True,ok
169.0,G2006NE0169T0337,G2006NE0169N0338,False,0.25,0.75,a,G2006NE0169T0337,False,ok
170.0,G2006NV0170N0340,G2006NV0170T0339,True,0.52,0.48,b,G2006NV0170T0339,False,ok
171.0,G2006NH0171N0342,G2006NH0171T0341,False,0.26,0.74,b,G2006NH0171T0341,True,ok
172.0,G2006NM0172N0344,G2006NM0172T0343,False,0.31,0.69,b,G2006NM0172T0343,True,ok
173.0,G2006NY0173N0346,G2006NY0173T0345,False,0.29,0.71,a,G2006NY0173N0346,False,ok
174.0,G2006OH0174N0348,G2006OH0174T0347,False,0.38,0.62,b,G2006OH0174T0347,True,ok
175.0,G2006OK0175T0349,G2006OK0175N0350,True,0.67,0.33,b,G2006OK0175N0350,False,ok
176.0,G2006OR0176T0351,G2006OR0176N0352,True,0.54,0.46,a,G2006OR0176T0351,True,ok
177.0,G2006PA0177T0353,G2006PA0177N0354,True,0.6,0.4,b,G2006PA0177N0354,False,ok
178.0,G2006RI0178N0356,G2006RI0178T0355,True,0.51,0.49,a,G2006RI0178N0356,True,ok
179.0,G2006SC0179T0357,G2006SC0179N0358,False,0.45,0.55,b,G2006SC0179N0358,True,ok
180.0,G2006SD0180T0359,G2006SD0180N0360,False,0.37,0.63,b,G2006SD0180N0360,True,ok
181.0,G2006TN0181T0361,G2006TN0181N0362,True,0.7,0.3,b,G2006TN0181N0362,False,ok
182.0,G2006TX0182T0363,G2006TX0182N0364,False,0.43,0.57,b,G2006TX0182N0364,True,ok
183.0,G2006VT0183N0366,G2006VT0183T0365,True,0.58,0.42,b,G2006VT0183T0365,False,ok
184.0,G2006WI0184T0367,G2006WI0184N0368,True,0.54,0.46,a,G2006WI0184T0367,True,ok
185.0,G2006WY0185T0369,G2006WY0185N0370,True,0.7,0.3,,,,"POSITION_BIAS: ['b', 'a'] | ['"
186.0,G2002AL0186N0372,G2002AL0186T0371,True,0.5,0.5,b,G2002AL0186T0371,False,ok
187.0,G2002AK0187N0374,G2002AK0187T0373,True,0.58,0.42,b,G2002AK0187T0373,False,ok
188.0,G2002AZ0188T0375,G2002AZ0188N0376,True,0.51,0.49,b,G2002AZ0188N0376,False,ok
189.0,G2002AR0189T0377,G2002AR0189N0378,False,0.47,0.53,,,,"POSITION_BIAS: ['a', 'b'] | ['"
190.0,G2002CA0190T0379,G2002CA0190N0380,True,0.53,0.47,a,G2002CA0190T0379,True,ok
192.0,G2002CT0192T0383,G2002CT0192N0384,False,0.44,0.56,a,G2002CT0192T0383,False,ok
193.0,G2002FL0193N0386,G2002FL0193T0385,True,0.56,0.44,b,G2002FL0193T0385,False,ok
194.0,G2002GA0194T0387,G2002GA0194N0388,False,0.47,0.53,b,G2002GA0194N0388,True,ok
195.0,G2002HI0195T0389,G2002HI0195N0390,False,0.48,0.52,a,G2002HI0195T0389,False,ok
196.0,G2002ID0196T0391,G2002ID0196N0392,False,0.43,0.57,b,G2002ID0196N0392,True,ok
197.0,G2002IL0197T0393,G2002IL0197N0394,True,0.54,0.46,b,G2002IL0197N0394,False,ok
198.0,G2002IA0198N0396,G2002IA0198T0395,False,0.46,0.54,b,G2002IA0198T0395,True,ok
199.0,G2002KS0199T0397,G2002KS0199N0398,True,0.54,0.46,a,G2002KS0199T0397,True,ok
200.0,G2002ME0200T0399,G2002ME0200N0400,True,0.53,0.47,b,G2002ME0200N0400,False,ok
201.0,G2002MD0201N0402,G2002MD0201T0401,True,0.52,0.58,b,G2002MD0201T0401,False,ok
202.0,G2002MA0202T0403,G2002MA0202N0404,False,0.47,0.53,,,,"POSITION_BIAS: ['b', 'a'] | ['"
203.0,G2002MI0203T0405,G2002MI0203N0406,True,0.52,0.48,b,G2002MI0203N0406,False,ok
204.0,G2002MN0204T0407,G2002MN0204N0408,False,0.45,0.55,a,G2002MN0204T0407,False,ok
205.0,G2002NE0205T0409,G2002NE0205N0410,False,0.29,0.71,b,G2002NE0205N0410,True,ok
206.0,G2002NV0206N0412,G2002NV0206T0411,True,0.76,0.24,a,G2002NV0206N0412,True,ok
207.0,G2002NH0207N0414,G2002NH0207T0413,True,0.61,0.39,a,G2002NH0207N0414,True,ok
208.0,G2002NM0208T0415,G2002NM0208N0416,True,0.59,0.41,b,G2002NM0208N0416,False,ok
209.0,G2002NY0209T0417,G2002NY0209N0418,False,0.4,0.6,a,G2002NY0209T0417,False,ok
210.0,G2002OH0210T0419,G2002OH0210N0420,False,0.4,0.6,a,G2002OH0210T0419,False,ok
211.0,G2002OK0211T0421,G2002OK0211N0422,True,0.5,0.5,b,G2002OK0211N0422,False,ok
212.0,G2002OR0212T0423,G2002OR0212N0424,True,0.52,0.48,b,G2002OR0212N0424,False,ok
213.0,G2002PA0213N0426,G2002PA0213T0425,False,0.45,0.55,,,,"POSITION_BIAS: ['a', 'b'] | ['"
214.0,G2002RI0214N0428,G2002RI0214T0427,True,0.55,0.45,b,G2002RI0214T0427,False,ok
215.0,G2002SC0215T0429,G2002SC0215N0430,False,0.47,0.53,b,G2002SC0215N0430,True,ok
216.0,G2002SD0216T0431,G2002SD0216N0432,False,0.42,0.58,b,G2002SD0216N0432,True,ok
217.0,G2002TN0217T0433,G2002TN0217N0434,True,0.52,0.48,b,G2002TN0217N0434,False,ok
218.0,G2002TX0218N0436,G2002TX0218T0435,True,0.59,0.41,a,G2002TX0218N0436,True,ok
219.0,G2002VT0219N0438,G2002VT0219T0437,True,0.51,0.49,b,G2002VT0219T0437,False,ok
220.0,G2002WI0220T0439,G2002WI0220N0440,True,0.52,0.48,b,G2002WI0220N0440,False,ok
221.0,G2001NJ0221T0441,G2001NJ0221N0442,True,0.58,0.42,a,G2001NJ0221T0441,True,ok
222.0,G2001VA0222N0444,G2001VA0222T0443,False,0.47,0.53,a,G2001VA0222N0444,False,ok
225.0,G2000MO0225T0449,G2000MO0225N0450,True,0.5,0.5,,,,"POSITION_BIAS: ['a', 'b'] | ['"
226.0,G2000MT0226N0452,G2000MT0226T0451,True,0.52,0.48,a,G2000MT0226N0452,True,ok
228.0,G2000NC0228T0455,G2000NC0228N0456,True,0.53,0.47,b,G2000NC0228N0456,False,ok
229.0,G2000ND0229T0457,G2000ND0229N0458,False,0.47,0.53,a,G2000ND0229T0457,False,ok
230.0,G2000UT0230N0460,G2000UT0230T0459,True,0.57,0.43,a,G2000UT0230N0460,True,ok
231.0,G2000VT0231T0461,G2000VT0231N0462,True,0.57,0.43,a,G2000VT0231T0461,True,ok
232.0,G2000WA0232N0464,G2000WA0232T0463,False,0.4,0.6,a,G2000WA0232N0464,False,ok
233.0,G2000WV0233N0466,G2000WV0233T0465,False,0.49,0.51,a,G2000WV0233N0466,False,ok
234.0,G1999KY0234N0468,G1999KY0234T0467,False,0.27,0.73,b,G1999KY0234T0467,True,ok
235.0,G1999LA0235N0470,G1999LA0235T0469,True,0.68,0.32,a,G1999LA0235N0470,True,ok
236.0,G1999MS0236T0471,G1999MS0236N0472,True,0.51,0.49,a,G1999MS0236T0471,True,ok
237.0,G1998AL0237N0474,G1998AL0237T0473,False,0.42,0.58,a,G1998AL0237N0474,False,ok
238.0,G1998AZ0238N0476,G1998AZ0238T0475,True,0.63,0.37,a,G1998AZ0238N0476,True,ok
239.0,G1998CA0239T0477,G1998CA0239N0478,True,0.6,0.4,a,G1998CA0239T0477,True,ok
240.0,G1998CO0240N0480,G1998CO0240T0479,True,0.5,0.5,,,,"POSITION_BIAS: ['a', 'b'] | ['"
241.0,G1998CT0241T0481,G1998CT0241N0482,False,0.36,0.64,a,G1998CT0241T0481,False,ok
242.0,G1998FL0242N0484,G1998FL0242T0483,True,0.55,0.45,b,G1998FL0242T0483,False,ok
243.0,G1998GA0243T0485,G1998GA0243N0486,True,0.54,0.46,a,G1998GA0243T0485,True,ok
244.0,G1998HI0244T0487,G1998HI0244N0488,True,0.51,0.49,b,G1998HI0244N0488,False,ok
245.0,G1998IL0245T0489,G1998IL0245N0490,False,0.48,0.52,,,,"POSITION_BIAS: ['a', 'b'] | ['"
247.0,G1998KS0247N0494,G1998KS0247T0493,True,0.76,0.24,a,G1998KS0247N0494,True,ok
248.0,G1998MD0248T0495,G1998MD0248N0496,True,0.55,0.45,a,G1998MD0248T0495,True,ok
249.0,G1998MA0249N0498,G1998MA0249T0497,True,0.52,0.48,b,G1998MA0249T0497,False,ok
250.0,G1998MI0250N0500,G1998MI0250T0499,True,0.62,0.38,,,,"POSITION_BIAS: ['a', 'b'] | ['"
251.0,G1998NE0251T0501,G1998NE0251N0502,False,0.46,0.54,b,G1998NE0251N0502,True,ok
252.0,G1998NV0252N0504,G1998NV0252T0503,True,0.55,0.45,a,G1998NV0252N0504,True,ok
253.0,G1998NM0253T0505,G1998NM0253N0506,False,0.45,0.55,a,G1998NM0253T0505,False,ok
254.0,G1998NY0254N0508,G1998NY0254T0507,True,0.62,0.38,b,G1998NY0254T0507,False,ok
255.0,G1998OH0255T0509,G1998OH0255N0510,False,0.47,0.53,b,G1998OH0255N0510,True,ok
256.0,G1998OK0256T0511,G1998OK0256N0512,False,0.41,0.59,a,G1998OK0256T0511,False,ok
257.0,G1998OR0257T0513,G1998OR0257N0514,True,0.68,0.32,b,G1998OR0257N0514,False,ok
258.0,G1998PA0258T0515,G1998PA0258N0516,False,0.35,0.65,a,G1998PA0258T0515,False,ok
259.0,G1998RI0259N0518,G1998RI0259T0517,True,0.55,0.45,,,,"POSITION_BIAS: ['a', 'b'] | ['"
260.0,G1998SC0260N0520,G1998SC0260T0519,False,0.46,0.54,a,G1998SC0260N0520,False,ok
261.0,G1998SD0261T0521,G1998SD0261N0522,False,0.34,0.66,a,G1998SD0261T0521,False,ok
